Publication,"10,Author10,A.B.,Journal","5,2009,10,YES,19,9"
Publication,"9,Author9,A.B.,Journal","4,2008,9,NO,18,8"
Publication,"8,Author8,A.B.,Journal","3,2007,8,YES,17,7"
Publication,"7,Author7,A.B.,Journal","2,2006,7,NO,16,6"
Publication,"6,Author6,A.B.,Journal","1,2005,6,YES,15,5"
Publication,"5,Author5,A.B.,Journal","5,2004,5,NO,14,4"
Publication,"4,Author4,A.B.,Journal","4,2003,4,YES,13,3"
Publication,"3,Author3,A.B.,Journal","3,2002,3,NO,12,2"
Publication,"2,Author2,A.B.,Journal","2,2001,2,YES,11,1"
Publication,"1,Author1,A.B.,Journal","1,2000,1,NO,10,0"
